URN,LAcode,LAname,EstablishmentNumber,EstablishmentName,TypeOfEstablishmentcode,TypeOfEstablishmentname,EstablishmentTypeGroupcode,EstablishmentTypeGroupname,EstablishmentStatuscode,EstablishmentStatusname,ReasonEstablishmentOpenedcode,ReasonEstablishmentOpenedname,OpenDate,ReasonEstablishmentClosedcode,ReasonEstablishmentClosedname,CloseDate,PhaseOfEducationcode,PhaseOfEducationname,StatutoryLowAge,StatutoryHighAge,Boarderscode,Boardersname,NurseryProvisionname,OfficialSixthFormcode,OfficialSixthFormname,Gendercode,Gendername,ReligiousCharactercode,ReligiousCharactername,ReligiousEthosname,Diocesecode,Diocesename,AdmissionsPolicycode,AdmissionsPolicyname,SchoolCapacity,SpecialClassescode,SpecialClassesname,CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlagcode,TrustSchoolFlagname,Trustscode,Trustsname,SchoolSponsorFlagname,SchoolSponsorsname,FederationFlagname,Federationscode,Federationsname,UKPRN,FEHEIdentifier,FurtherEducationTypename,OfstedLastInsp,OfstedSpecialMeasurescode,OfstedSpecialMeasuresname,LastChangedDate,Street,Locality,Address3,Town,Countyname,Postcode,SchoolWebsite,TelephoneNum,HeadTitlename,HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateNamename,InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMothname,TeenMothPlaces,CCFname,SENPRUname,EBDname,PlacesPRU,FTProvname,EdByOthername,Section41Approvedname,SEN1name,SEN2name,SEN3name,SEN4name,SEN5name,SEN6name,SEN7name,SEN8name,SEN9name,SEN10name,SEN11name,SEN12name,SEN13name,TypeOfResourcedProvisionname,ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GORcode,GORname,DistrictAdministrativecode,DistrictAdministrativename,AdministrativeWardcode,AdministrativeWardname,ParliamentaryConstituencycode,ParliamentaryConstituencyname,UrbanRuralcode,UrbanRuralname,GSSLACodename,Easting,Northing,CensusAreaStatisticWardname,MSOAname,LSOAname,InspectorateNamename,SENStat,SENNoStat,BoardingEstablishmentname,PropsName,PreviousLAcode,PreviousLAname,PreviousEstablishmentNumber,OfstedRatingname,RSCRegionname,Countryname,UPRN,SiteName,MSOAcode,LSOAcode
100000,201,City of London,3614,The Aldgate School,2,Voluntary aided school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,245,2,No Special Classes,2026-01-15,229,122,107,22.7,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10079319,null,Not applicable,null,null,null,2026-06-29,St James's Passage,Duke's Place,null,London,null,EC3A 5DE,www.thealdgateschool.org,2072831147,Miss,Alexandra,Allan,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000001,City of London,E05009308,Portsoken,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,533498,181201,null,City of London 001,City of London 001F,null,null,null,null,null,999,null,null,null,null,null,200000071925,null,E02000001,E01032739
100001,201,City of London,6005,City of London School for Girls,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,1920-01-01,0,Not applicable,null,0,Not applicable,10,18,1,No boarders,No Nursery Classes,1,Has a sixth form,2,Girls,6,None,Inter- / non- denominational,0000,Not applicable,2,Selective,860,2,No Special Classes,2024-01-18,794,0,794,null,0,Not applicable,null,null,Not applicable,null,Not applicable,null,null,10013279,null,Not applicable,null,null,null,2026-07-23,St Giles' Terrace,Barbican,null,London,null,EC2Y 8BB,http://www.clsg.org.uk,2078475500,Mrs,Jenny,Brown,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not approved,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000001,City of London,E05009302,Cripplegate,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,532301,181746,null,City of London 001,City of London 001B,ISI,1,138,Does not have boarders,Corporation of London,999,null,null,null,null,null,200000074660,null,E02000001,E01000002
100002,201,City of London,6006,St Paul's Cathedral School,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,1939-01-01,0,Not applicable,null,0,Not applicable,4,13,3,Boarding school,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Christian,0000,Not applicable,0,Not applicable,285,2,No Special Classes,2024-01-18,280,156,124,null,0,Not applicable,null,null,Not applicable,null,Not applicable,null,null,10018890,null,Not applicable,null,null,null,2026-07-23,2 New Change,null,null,London,null,EC4M 9AD,http://www.spcslondon.com,2072485156,Mrs,Judith,Fremont-Barnes,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not approved,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000001,City of London,E05009293,Bread Street,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,532160,181151,null,City of London 001,City of London 001F,ISI,0,30,Has boarders,The Chapter of St Paul’s Cathedral,999,null,null,null,null,null,200000072075,null,E02000001,E01032739
100003,201,City of London,6007,City of London School,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,1919-01-01,0,Not applicable,null,0,Not applicable,10,18,1,No boarders,No Nursery Classes,1,Has a sixth form,1,Boys,6,None,None,0000,Not applicable,0,Not applicable,1100,2,No Special Classes,2024-01-18,1040,1040,0,null,0,Not applicable,null,null,Not applicable,null,Not applicable,null,null,10008165,null,Not applicable,null,null,null,2026-07-23,107 Queen Victoria Street,null,null,London,null,EC4V 3AL,http://www.cityoflondonschool.org.uk,2036806300,Mr,Alan,Bird,Head,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not approved,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000001,City of London,E05009309,Queenhithe,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,531981,180844,null,City of London 001,City of London 001F,ISI,1,174,Does not have boarders,City of London Corporation(Board of Governors of City of London School,999,null,null,null,null,null,100022936607,null,E02000001,E01032739
100004,202,Camden,1045,Sherborne Nursery School,15,Local authority nursery school,4,Local authority maintained schools,2,Closed,0,Not applicable,null,0,Not applicable,1992-08-31,1,Nursery,3,5,1,No boarders,Not applicable,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,null,0,Not applicable,null,null,null,null,null,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,null,null,Not applicable,null,null,null,2015-09-24,Priestly House,Athlone Street,null,London,null,NW5 4LP,null,null,null,null,null,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05000136,Haverstock,E14000750,Holborn and St Pancras,A1,(England/Wales) Urban major conurbation,E09000007,528515,184869,null,Camden 007,Camden 007D,null,null,null,null,null,999,null,null,null,null,null,200163898,null,E02000172,E01000901
100005,202,Camden,1048,Thomas Coram Centre,15,Local authority nursery school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,1,Nursery,2,5,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,null,0,Not applicable,2026-01-15,105,65,40,35.8,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,null,null,Not applicable,null,null,null,2026-06-29,49 Mecklenburgh Square,null,null,London,null,WC1N 2NY,http://www.thomascoram.camden.sch.uk/,2075200385,Ms,Perina,Holness,Head Teacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013666,King's Cross,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,530464,182403,null,Camden 029,Camden 029G,null,null,null,null,null,999,null,null,null,null,null,5088037,null,E02007115,E01000937
100006,202,Camden,1100,Heath School,14,Pupil referral unit,4,Local authority maintained schools,1,Open,0,Not applicable,1999-09-01,0,Not applicable,null,0,Not applicable,11,16,1,No boarders,Not applicable,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,null,0,Not applicable,2026-01-15,33,21,12,81.8,0,Not applicable,null,null,Not applicable,null,Not applicable,null,null,10016665,null,Not applicable,null,null,null,2026-06-29,Agincourt Road,null,null,London,null,NW3 2NY,http://heath.h3federation.org.uk/,2079748906,Mr,Alex,Wilson,Headteacher,Not applicable,null,null,null,Does not provide places for Teen Mothers,null,Does not have child care facilities,PRU Does have Provision for SEN,PRU Does have EBD provision,65,PRU offers full time provision,Does not offer tuition by another provider,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013658,Gospel Oak,E14001265,Hampstead and Highgate,UN1,Urban: Nearer to a major town or city,E09000007,527663,185479,null,Camden 006,Camden 006B,null,null,null,null,null,999,null,null,null,null,null,5109310,null,E02000171,E01000887
100007,202,Camden,1101,Camden Primary Pupil Referral Unit,14,Pupil referral unit,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,0,Not applicable,5,11,1,No boarders,Not applicable,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,20,0,Not applicable,2026-01-15,20,17,3,85.0,0,Not applicable,null,null,Not applicable,null,Not applicable,null,null,10077053,null,Not applicable,null,null,null,2026-06-29,"Robson House, Netley Campus",74 Stanhope Street,null,London,null,NW1 3EX,http://www.robsonhouse.org.uk/main/,2037720370,Mr,John,Hayes,Executive Head,Not applicable,null,null,null,Not applicable,null,Not applicable,PRU Does have Provision for SEN,PRU Does have EBD provision,null,PRU offers full time provision,Not applicable,Not applicable,"SEMH - Social, Emotional and Mental Health",null,null,null,null,null,null,null,null,null,null,null,null,SEN unit,null,null,20,20,H,London,E09000007,Camden,E05013668,Regent's Park,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,529082,182617,null,Camden 023,Camden 023F,null,null,null,null,null,999,null,null,null,null,null,10091911459,null,E02000188,E01035710
100008,202,Camden,2019,Argyle Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,432,2,No Special Classes,2026-01-15,269,132,137,68.8,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10078065,null,Not applicable,null,null,null,2026-07-21,Tonbridge Street,null,null,London,null,WC1H 9EG,http://www.argyle.camden.sch.uk/,2078374590,Ms,Jemima,Wade,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013666,King's Cross,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,530238,182761,null,Camden 029,Camden 029D,null,null,null,null,null,999,null,null,null,null,null,5090707,null,E02007115,E01000941
100009,202,Camden,2036,West Hampstead Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,446,2,No Special Classes,2026-01-15,424,214,210,46.2,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10077183,null,Not applicable,null,null,null,2026-06-29,Dornfell Street,West Hampstead,null,London,null,NW6 1QL,http://www.westhampstead.camden.sch.uk/,2074358646,Mr,Samuel,Drake,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013656,Fortune Green,E14001265,Hampstead and Highgate,UN1,Urban: Nearer to a major town or city,E09000007,524888,185067,null,Camden 005,Camden 005C,null,null,null,null,null,999,null,null,null,null,null,5090655,null,E02000170,E01000873
