Provider.Ukprn,Provider.Urn,Provider.Name,ProviderType.ProviderType,ProviderType.ProviderTypeCode,ProviderType.Store_ProviderType,ProviderType.Store_ProviderTypeCode,ProviderSubType.ProviderSubtype,ProviderSubType.ProviderSubtypeCode,ProviderSubType.Store_ProviderSubtype,ProviderSubType.Store_ProviderSubtypeCode,FurtherEducationType.FurtherEducationType,FurtherEducationType.Code,Authority.Authority,Authority.Code,Provider.DateOpened,Provider.DateClosed,ReasonEstablishmentOpened.ReasonEstablishmentOpened,ReasonEstablishmentOpened.Code,ReasonEstablishmentClosed.ReasonEstablishmentClosed,ReasonEstablishmentClosed.Code,PaymentOrganisation.Name,PaymentOrganisation.Ukprn,PaymentOrganisation.TrustCode,PaymentOrganisation.Urn,PaymentOrganisation.PaymentOrganisationType,PaymentOrganisation.CompanyHouseNumber,PaymentOrganisation.GroupIdNumber,ProviderStatus.ProviderStatus,ProviderStatus.Code,PhaseOfEducation.PhaseOfEducation,PhaseOfEducation.Code,Provider.StatutoryLowAge,Provider.StatutoryHighAge,Provider.EstablishmentNumber,Provider.DfeEstablishmentNumber,Provider.Postcode,Provider.Town,Provider.Street,Provider.Locality,Provider.Address3,TrustStatus.TrustStatus,TrustStatus.Code,Provider.PreviousLaCode,Provider.PreviousLaName,Provider.PreviousEstablishmentNumber,Provider.RscRegionName,Provider.RscRegionCode,Provider.GovernmentOfficeRegionName,Provider.GovernmentOfficeRegionCode,Provider.DistrictName,Provider.DistrictCode,Provider.WardName,Provider.WardCode,Provider.CensusWardName,Provider.CensusWardCode,Provider.MiddleSuperOutputAreaName,Provider.MiddleSuperOutputAreaCode,Provider.LowerSuperOutputAreaName,Provider.LowerSuperOutputAreaCode,Provider.ParliamentaryConstituencyName,Provider.ParliamentaryConstituencyCode,Provider.CountryCode,Provider.CountryName,Provider.OfficialSixthFormCode,Provider.OfficialSixthFormName,Stream,Period
10042333,139837,Abacus Belsize Primary School,Free schools,11,,,Free schools,35,,,Not applicable,00,Camden,202,01/09/2013,,New Provision,06,,99,ANTHEM SCHOOLS TRUST,10058447,2597,,Multi-academy trust,07468210,TR00429,Open,1,Primary,2,4,11,2001,2022001,N1C 4PF,London,Jubilee Waterside Centre,105 Camley Street,,Supported by a multi-academy trust,3,999,,,,,London,H,Camden,E09000007,King's Cross,E05013666,,999999,Camden 019,E02000184,Camden 019D,E01000958,Holborn and St Pancras,E14001290,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10063107,143601,Alderwood Primary School,Academies,10,,,Academy converter,34,,,Not applicable,00,Greenwich,203,01/07/2017,,Academy Converter,10,,99,THE COMPASS PARTNERSHIP OF SCHOOLS,10064633,16726,,Multi-academy trust,10360957,TR03593,Open,1,Primary,2,3,11,2024,2032024,SE9 2JH,London,Rainham Close,Eltham,,Supported by a multi-academy trust,3,999,,,,,London,H,Greenwich,E09000011,Eltham Town & Avery Hill,E05014079,,999999,Greenwich 030,E02000342,Greenwich 030E,E01033729,Eltham and Chislehurst,E14001223,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10054301,131841,Alexander McLeod Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Greenwich,203,01/01/1999,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,5,11,2922,2032922,SE2 0QS,London,Fuchsia Street,,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Abbey Wood,E05014072,,999999,Greenwich 008,E02000320,Greenwich 008A,E01001571,Erith and Thamesmead,E14001229,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10078065,100008,Argyle Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,3,11,2019,2022019,WC1H 9EG,London,Tonbridge Street,,,Not applicable,0,999,,,,,London,H,Camden,E09000007,King's Cross,E05013666,,999999,Camden 029,E02007115,Camden 029D,E01000941,Holborn and St Pancras,E14001290,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10093013,150068,Bannockburn Primary School,Academies,10,,,Academy converter,34,,,,99,Greenwich,203,01/11/2023,,Academy Converter,10,,99,POLYMAT,10060824,4220,,Multi-academy trust,09078530,TR02708,Open,1,Primary,2,3,11,2028,2032028,SE18 1HE,London,Plumstead High Street,,,Supported by a multi-academy trust,3,999,,,,,London,H,Greenwich,E09000011,Plumstead & Glyndon,E05014087,,999999,Greenwich 006,E02000318,Greenwich 006B,E01001673,Erith and Thamesmead,E14001229,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10079310,100181,Bishop John Robinson Church of England Primary School,Local authority maintained schools,4,,,Voluntary aided school,02,,,Not applicable,00,Greenwich,203,,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,3,11,3668,2033668,SE28 8LW,London,Hoveton Road,Thamesmead,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Thamesmead Moorings,E05014090,,999999,Greenwich 002,E02000314,Greenwich 002B,E01001688,Erith and Thamesmead,E14001229,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10092130,149684,Boxgrove Primary School,Academies,10,,,Academy converter,34,,,,99,Greenwich,203,01/10/2023,,Academy Converter,10,,99,THE COMPASS PARTNERSHIP OF SCHOOLS,10064633,16726,,Multi-academy trust,10360957,TR03593,Open,1,Primary,2,3,11,2801,2032801,SE2 9JP,Greenwich,Boxgrove Road,Abbey Wood,,Supported by a multi-academy trust,3,999,,,,,London,H,Greenwich,E09000011,Abbey Wood,E05014072,,999999,Greenwich 003,E02000315,Greenwich 003D,E01001578,Erith and Thamesmead,E14001229,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10073852,100010,Brecknock Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,2,11,2065,2022065,NW1 9AL,London,Cliff Villas,Camden,,Not applicable,0,999,,,,,London,H,Camden,E09000007,Camden Square,E05013654,,999999,Camden 015,E02000180,Camden 015E,E01000869,Holborn and St Pancras,E14001290,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10078064,100011,Brookfield Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,2,11,2078,2022078,N19 5DH,London,Chester Road,,,Not applicable,0,999,,,,,London,H,Camden,E09000007,Highgate,E05013661,,999999,Camden 001,E02000166,Camden 001B,E01000908,Hampstead and Highgate,E14001265,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10057784,143210,Brooklands Primary School,Academies,10,,,Academy converter,34,,,Not applicable,00,Greenwich,203,01/09/2016,,Academy Converter,10,,99,MARITIME ACADEMY TRUST,10058002,16311,,Multi-academy trust,10264735,TR03442,Open,1,Primary,2,2,11,2790,2032790,SE3 9AB,London,Medebourne Close,Casterbridge Road,,Supported by a multi-academy trust,3,999,,,,,London,H,Greenwich,E09000011,Blackheath Westcombe,E05014073,,999999,Greenwich 034,E02006927,Greenwich 034A,E01001656,Eltham and Chislehurst,E14001223,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10077053,100007,Camden Primary Pupil Referral Unit,Local authority maintained schools,4,,,Pupil referral unit,14,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Not applicable,0,5,11,1101,2021101,NW1 3EX,London,"Robson House, Netley Campus",74 Stanhope Street,,Not applicable,0,999,,,,,London,H,Camden,E09000007,Regent's Park,E05013668,,999999,Camden 023,E02000188,Camden 023F,E01035710,Holborn and St Pancras,E14001290,GB,United Kingdom,0,Not applicable,PSG,SY2425
