CLOSEDATE,Company_House_Number,LEGALNAME,LIVE,NAME,OPENDATE,UKPRN,URN,DataSourcePath,DataSourceId
30/11/2011,04263271,ASSESSMENT AND CONSTRUCTION TRAINING LIMITED,FALSE,null,29/11/2011,10000000,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,null,THE CAMDEN SCHOOL FOR GIRLS,TRUE,null,10/10/2025,10000001,100054,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
01/04/2015,null,THE CARDINAL VAUGHAN MEMORIAL RC SCHOOL,FALSE,null,29/12/2014,10000002,100506,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
28/01/2009,04010125,"ESSEX, SOUTHEND & THURROCK CONNEXIONS LIMITED",FALSE,null,15/04/2007,10000003,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
25/04/2018,01295856,THE ROYAL ASSOCIATION FOR DISABILITY RIGHTS,FALSE,null,23/02/2018,10000004,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02741070,BUPA CARE HOMES (CFHCARE) LIMITED,TRUE,null,18/07/2026,10000005,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
19/03/2007,03668935,1.2.3 SOLEIL LIMITED,FALSE,null,01/09/2006,10000006,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
06/12/2016,05480166,11 TECH 18,FALSE,null,30/08/2016,10000007,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
19/07/2011,04752041,THE ARTEMIS TEAM LIMITED,FALSE,null,12/11/2010,10000008,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
02/11/2006,05405694,1ST CHOICE TRAINING CONSULTANTS LIMITED,FALSE,null,29/07/2005,10000009,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,04542924,1ST TRAINING LIMITED,TRUE,null,17/07/2026,10000010,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
03/12/2020,03845628,TRANSCITY PROPERTIES LIMITED,FALSE,200 Words a Day,19/09/2020,10000011,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
